message_id,action,message_type,reason,confidence,evidence_message_ids
msg_074,mute,scam,"The message demands payment with ""pay rs 11,000"" from a sender with a 62% report rate with this user, no admin standing in this channel.",0.85,message_0203;message_0389
msg_073,mute,scam,Phishing-style account restriction warning urging immediate link verification from a sender this recipient reported and muted 100% of 7 times.,0.93,message_0087;message_0184
msg_054,mute,scam,"The message demands payment with ""pay processing fee"" from a sender with a 62% report rate with this user, no admin standing in this channel.",0.85,message_0389;message_0163
msg_068,digest,event,"Casual book club note about a night poll after the match states no urgency, echoing the same sender's earlier poll plan the recipient merely opened.",0.83,message_0191;message_0192
msg_100,notify,urgent,"A colleague asks for help before a client escalation in 20 minutes, and this recipient opens 100% and replies to 86% of this sender's messages.",0.92,message_0362;message_0228
msg_062,digest,business_update,"Society fire-alarm test notice from a fellow admin the recipient opens 96% of the time, but the attached poster is a missing-person flyer, not the notice.",0.71,message_0043;message_0129
msg_096,notify,urgent,"A building reception notice says a passport is held and must be collected before 18h, a same-day window with no link or payment ask.",0.62,message_0353
msg_043,notify,urgent,A water tanker at Gate 2 leaving in 15 minutes from a fellow society admin the recipient opens and replies to 96% of the time.,0.90,message_0269;message_0130
msg_077,digest,unknown,A group message in International School Parents Group with an image attachment could not be checked against the sender's history and is held for the digest.,0.55,message_0037
msg_081,notify,urgent,"Voice note from a group admin moves today's pick-up to gate 2 by 3:40, and this recipient opened and replied to the same admin's earlier gate-2 notice.",0.88,message_0217
msg_025,notify,business_update,"Delivery update saying order 4821 reaches the local hub today, from a verified Amazon India account this recipient has opened and replied to 100% of the time.",0.88,message_0239;message_0004
msg_084,mute,promotion,"Untranscribable voice note from an HDFC Bank account this recipient opted out of on 2026-07-17, having dismissed and muted all 8 prior loan messages.",0.78,message_0220
msg_022,mute,scam,"The message demands payment with ""payment due"" from a sender with no admin standing in this channel.",0.85,message_0099;message_0100
